Category,Food Name,Alternative Name,Chinese Terms,English Terms
蔬菜類,"昭和草","山茼蒿,野茼蒿,太子原,飛機草,神仙草 ebolo, thickhead; redflower ragleaf; fireweed",蔬菜類 蔬菜类 昭和草 山茼蒿 野茼蒿 太子原 飛機草 神仙草 飞机草,ebolo thickhead redflower ragleaf fireweed showa grass
蔬菜類,"隼人瓜苗","隼人瓜鬚,佛手瓜苗(鬚),香櫞瓜苗(鬚),梨瓜苗(鬚),番瓜鬚(龍鬚菜是誤用) Chayote sprouts",蔬菜類 蔬菜类 隼人瓜苗 隼人瓜須 佛手瓜苗 香櫞瓜苗 梨瓜苗 番瓜須 龍須菜是誤用 隼人瓜须 香橼瓜苗 番瓜须 龙须菜是误用,chayote sprouts hayato melon seedlings
蔬菜類,"白莧菜","杏菜,荇菜,莕菜,茵菜,白杏菜,白荇菜 Edible amaranth; Chinese amaranth",蔬菜類 蔬菜类 白莧菜 杏菜 荇菜 莕菜 茵菜 白杏菜 白荇菜 白苋菜,edible amaranth chinese
蔬菜類,"紅莧菜","紅莧,虎菜,紅虎莧,赤莧,紅杏(荇)菜,赤杏菜,紫杏(莧)菜 Edible amaranth; Chinese amaranth",蔬菜類 蔬菜类 紅莧菜 紅莧 虎菜 紅虎莧 赤莧 紅杏 荇 赤杏菜 紫杏 红苋菜 红苋 红虎苋 赤苋 红杏,edible amaranth chinese red
蔬菜類,"野莧菜","野莧(杏),綠莧,豬莧,鳥仔莧(杏),假莧(杏)菜,山荇(杏,莧)菜, Edible amaranth; Chinese amaranth",蔬菜類 蔬菜类 野莧菜 野莧 杏 綠莧 豬莧 鳥仔莧 假莧 山荇 野苋菜 野苋 绿苋 猪苋 鸟仔苋 假苋,edible amaranth chinese
蔬菜類,"紫蘇","蘇草,紅(赤/綠/青)紫蘇,桂荏 Perilla",蔬菜類 蔬菜类 紫蘇 蘇草 紅 赤/綠/青 桂荏 紫苏 苏草 红 赤/绿/青,perilla
蔬菜類,"菠菜","菠菱菜,赤根菜,飛龍菜,角菜,波斯草,波斯菜,波菱菜 Spinach",蔬菜類 蔬菜类 波菜 菠菜 菠菱菜 赤根菜 飛龍菜 角菜 波斯草 波斯菜 波菱菜 飞龙菜,spinach
蔬菜類,"菠菜(葉)(有機)","菠菱菜,赤根菜,飛龍菜,角菜,波斯草,波斯菜,波菱菜 Spinach (organic)",蔬菜類 蔬菜类 波菜 菠菜 葉 有機 菠菱菜 赤根菜 飛龍菜 角菜 波斯草 波斯菜 波菱菜 叶 有机 飞龙菜,spinach organic (leaf) (organic)
蔬菜類,"冷凍菠菜","菠菱菜,赤根菜,飛龍菜,角菜,波斯草,波斯菜,波菱菜 Spinach: frozen",蔬菜類 蔬菜类 波菜 冷凍菠菜 菠菱菜 赤根菜 飛龍菜 角菜 波斯草 波斯菜 波菱菜 冷冻菠菜 飞龙菜,spinach frozen
蔬菜類,"菾菜","葉用甜菜,莙薘菜,牛皮菜,豬乸菜 Chard",蔬菜類 蔬菜类 菾菜 葉用甜菜 莙薘菜 牛皮菜 豬乸菜 叶用甜菜 猪乸菜,chard chinese cabbage
蔬菜類,"黃金菾菜","黃金火焰菜,君達菜,甜菜 Garden Beet; Table Beet; Swiss Chard; Spinach Beet; Chard; White Beet",蔬菜類 蔬菜类 黃金菾菜 黃金火焰菜 君達菜 甜菜 黄金菾菜 黄金火焰菜 君达菜,garden beet table swiss chard spinach white golden radish
蔬菜類,"落葵","皇宮菜,蟳菜,胭(臙)脂菜,紅落葵,潺菜,蔠菜,藤葵,藤菜,天葵,御菜,牛皮凍 Malaber spinach; Ceylon spinach; malabar nightshade",蔬菜類 蔬菜类 落葵 皇宮菜 蟳菜 胭 臙 脂菜 紅落葵 潺菜 蔠菜 藤葵 藤菜 天葵 御菜 牛皮凍 皇宫菜 红落葵 牛皮冻,malaber spinach ceylon malabar nightshade basella alba
蔬菜類,"藤三七","洋落葵,蔓安迪,落葵安迪,藤子三七,雲南白藥,小年藥,馬德拉藤,金錢珠,中枝蓮(習以川七誤稱) Madeira vine",蔬菜類 蔬菜类 藤三七 洋落葵 蔓安迪 落葵安迪 藤子三七 雲南白藥 小年藥 馬德拉藤 金錢珠 中枝蓮 習以川七誤稱 云南白药 小年药 马德拉藤 金钱珠 中枝莲 习以川七误称,madeira vine panax notoginseng
蔬菜類,"不結球萵苣平均值","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce; (Chinese) Leaf lettuce; Gardon lettuce",蔬菜類 蔬菜类 不結球萵苣平均值 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 不结球莴苣平均值 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce chinese leaf gardon average non-heading
蔬菜類,"奶油萵苣(日本種)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 奶油萵苣 日本種 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 奶油莴苣 日本种 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce butter (japanese variety)
蔬菜類,"紅葉萵苣(荷蘭種）","彩葉萵苣,彩色媚仔菜,紅色萵苣菜,紅萵仔菜 Lettuce",蔬菜類 蔬菜类 紅葉萵苣 荷蘭種 彩葉萵苣 彩色媚仔菜 紅色萵苣菜 紅萵仔菜 红叶莴苣 荷兰种 彩叶莴苣 红色莴苣菜 红莴仔菜,lettuce red leaf (dutch variety)
蔬菜類,"廣東萵苣","皺葉萵苣,縮葉萵苣,皺萵仔菜,皺妹菜 Lettuce",蔬菜類 蔬菜类 廣東萵苣 皺葉萵苣 縮葉萵苣 皺萵仔菜 皺妹菜 广东莴苣 皱叶莴苣 缩叶莴苣 皱莴仔菜 皱妹菜,lettuce guangdong
蔬菜類,"蘿美萵苣","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣(大陸妹) romaine lettuce: organic",蔬菜類 蔬菜类 蘿美萵苣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 大陸妹 萝美莴苣 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣 大陆妹,romaine lettuce organic
蔬菜類,"本島萵苣(土植)(1月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 本島萵苣 土植 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce from honjima (sampling in january)
蔬菜類,"本島萵苣(土植)(3月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 本島萵苣 土植 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce from hondo island (sampling in march)
蔬菜類,"本島萵苣(土植)(4月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 本島萵苣 土植 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce from honjima (sampling in april)
蔬菜類,"本島萵苣(土植)(7月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 本島萵苣 土植 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce from honjima (sampling in july)
蔬菜類,"本島萵苣(土植)(10月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 本島萵苣 土植 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce from honjima (sampling in october)
蔬菜類,"本島萵苣(水耕)(1月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 本島萵苣 水耕 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce (hydroponics) (sampled in january)
蔬菜類,"本島萵苣(水耕)(4月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 本島萵苣 水耕 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce (hydroponics) (sampled in april)
蔬菜類,"本島萵苣(水耕)(7月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 本島萵苣 水耕 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce (hydroponics) (sampled in july)
蔬菜類,"本島萵苣(水耕)(10月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce",蔬菜類 蔬菜类 本島萵苣 水耕 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce (hydroponics) (sampled in october)
蔬菜類,"本島萵苣(有機)(1月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce: organic",蔬菜類 蔬菜类 本島萵苣 有機 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 有机 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce organic (organic) (sampled in january)
蔬菜類,"本島萵苣(有機)(4月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce: organic",蔬菜類 蔬菜类 本島萵苣 有機 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 有机 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce organic (organic) (sampled in april)
蔬菜類,"本島萵苣(有機)(7月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce: organic",蔬菜類 蔬菜类 本島萵苣 有機 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 有机 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce organic (organic) (sampled in july)
蔬菜類,"本島萵苣(有機)(10月取樣)","葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣 Lettuce: organic",蔬菜類 蔬菜类 本島萵苣 有機 月取樣 葉萵苣 葉萵 萵仔菜 刈葉萵苣 生菜 妹 媚 鵝仔菜 草 春不老 印度萵苣 本岛莴苣 有机 月取样 叶莴苣 叶莴 莴仔菜 刈叶莴苣 鹅仔菜 印度莴苣,lettuce organic (organic) (sampled in october)
蔬菜類,"水耕波士頓萵苣"," Lettuce",蔬菜類 蔬菜类 水耕波士頓萵苣 水耕波士顿莴苣,lettuce hydroponic boston
蔬菜類,"結球萵苣","球萵苣,包心萵苣,捲心萵苣,生菜,包心媚仔菜,結球妹仔菜 Head lettuce",蔬菜類 蔬菜类 結球萵苣 包心萵苣 卷心萵苣 生菜 包心媚仔菜 結球妹仔菜 结球莴苣 包心莴苣 卷心莴苣 结球妹仔菜,head lettuce cabbage
蔬菜類,"豌豆苗","豆苗,豆鬚,荷蘭豆苗(鬚),飛龍豆苗 Sweet pea sprout",蔬菜類 蔬菜类 豌豆苗 豆須 荷蘭豆苗 飛龍豆苗 豆须 荷兰豆苗 飞龙豆苗,sweet pea sprout sprouts
蔬菜類,"龍葵","黑甜菜,烏甜(田)菜,烏甜仔,烏子(克)菜,烏子茄,苦葵(菜),天茄子,天泡草,老鴉酸漿草 morelle",蔬菜類 蔬菜类 龍葵 黑甜菜 烏甜 田 烏甜仔 烏子 克 烏子茄 苦葵 天茄子 天泡草 老鴉酸漿草 龙葵 乌甜 乌甜仔 乌子 乌子茄 老鸦酸浆草,morelle solanum nigrum
蔬菜類,"蕹菜(土植)(1月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach",蔬菜類 蔬菜类 蕹菜 土植 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach (soil plant) (sampled in january)
蔬菜類,"蕹菜(土植)(4月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach",蔬菜類 蔬菜类 蕹菜 土植 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach (soil-grown) (sampled in april)
蔬菜類,"蕹菜(土植)(7月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach",蔬菜類 蔬菜类 蕹菜 土植 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach (soil-grown) (sampled in july)
蔬菜類,"蕹菜(土植)(10月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach",蔬菜類 蔬菜类 蕹菜 土植 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach (soil-grown) (sampled in october)
蔬菜類,"蕹菜(水耕)(1月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach",蔬菜類 蔬菜类 蕹菜 水耕 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach (hydroponics) (sampled in january)
蔬菜類,"蕹菜(水耕)(4月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach",蔬菜類 蔬菜类 蕹菜 水耕 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach (hydroponics) (sampled in april)
蔬菜類,"蕹菜(水耕)(7月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach",蔬菜類 蔬菜类 蕹菜 水耕 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach (hydroponics) (sampled in july)
蔬菜類,"蕹菜(水耕)(10月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach",蔬菜類 蔬菜类 蕹菜 水耕 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach (hydroponics) (sampled in october)
蔬菜類,"蕹菜(有機)(4月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach: organic",蔬菜類 蔬菜类 蕹菜 有機 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 有机 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach organic (organic) (sampled in april)
蔬菜類,"蕹菜(有機)(10月取樣)","空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜 Water convolvulus; Water spinach: organic",蔬菜類 蔬菜类 蕹菜 有機 月取樣 空心菜 應菜 壅菜 甕菜 草菜 無心菜 藤藤菜 竹葉菜 葛菜 有机 月取样 应菜 瓮菜 无心菜 竹叶菜,water convolvulus spinach organic (organic) (sampled in october)
蔬菜類,"水蕹菜"," Water convolvulus; Water spinach",蔬菜類 蔬菜类 水蕹菜,water convolvulus spinach
蔬菜類,"蘿蔔葉","葉蘿蔔 Radish leaf",蔬菜類 蔬菜类 蘿蔔葉 葉蘿蔔 萝卜叶 叶萝卜,radish leaf leaves
蔬菜類,"花椰菜","花菜,菜花,白花菜,白菜花 Cauliflower",蔬菜類 蔬菜类 花椰菜 花菜 菜花 白花菜 白菜花,cauliflower
蔬菜類,"冷凍花椰菜","花菜,菜花,白花菜,白菜花 Cauliflower: frozen",蔬菜類 蔬菜类 冷凍花椰菜 花菜 菜花 白花菜 白菜花 冷冻花椰菜,cauliflower frozen
蔬菜類,"紫色花椰菜"," Cauliflower (purple)",蔬菜類 蔬菜类 紫色花椰菜,cauliflower purple
蔬菜類,"青花菜(1999年取樣)","(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞 Broccoli",蔬菜類 蔬菜类 青花菜 年取樣 青花菜非綠色花椰菜 青 綠 美國花菜 青花苔 花 菜苔 花菜苞 年取样 青花菜非绿色花椰菜 绿 美国花菜,broccoli (sampled in 1999)
蔬菜類,"青花菜(2021年取樣)","(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞 Broccoli",蔬菜類 蔬菜类 青花菜 年取樣 青花菜非綠色花椰菜 青 綠 美國花菜 青花苔 花 菜苔 花菜苞 年取样 青花菜非绿色花椰菜 绿 美国花菜,broccoli (sampled in 2021)
蔬菜類,"冷凍青花菜","(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞 Broccoli: frozen",蔬菜類 蔬菜类 冷凍青花菜 青花菜非綠色花椰菜 青 綠 美國花菜 青花苔 花 菜苔 花菜苞 冷冻青花菜 青花菜非绿色花椰菜 绿 美国花菜,broccoli frozen
蔬菜類,"青花菜筍"," Broccoli sprout",蔬菜類 蔬菜类 青花菜筍 青花菜笋,broccoli sprout shoots
蔬菜類,"花椰菜乾"," Cauliflower: dried",蔬菜類 蔬菜类 花椰菜乾 花椰菜干 花椰菜干,cauliflower dried
蔬菜類,"金針菜","萱草,金針花,金針,黃花(菜),萱花 Day-lily; Common orange Day-lily",蔬菜類 蔬菜类 金針菜 萱草 金針花 金針 黃花 萱花 金针菜 金针花 金针 黄花,day lily common orange daylily
蔬菜類,"金針菜乾","萱草,金針花,金針,黃花(菜),萱花 Dried day-lily; dried common orange Day-lily",蔬菜類 蔬菜类 金針菜乾 金針菜干 萱草 金針花 金針 黃花 菜 萱花 金针菜乾 金针菜干 金针花 金针 黄花,dried day lily common orange
蔬菜類,"洛神花乾","玫瑰茄,洛神葵,洛神果,洛濟葵 Dried hibiscus flowers",蔬菜類 蔬菜类 洛神花乾 洛神花干 玫瑰茄 洛神葵 洛神果 洛濟葵 洛神花干 洛济葵,dried hibiscus flowers roselle
蔬菜類,"絲瓜花","菜瓜花 Vegetable sponge flower",蔬菜類 蔬菜类 絲瓜花 菜瓜花 丝瓜花,vegetable sponge flower loofah
蔬菜類,"冬瓜平均值","白瓜,東瓜,枕瓜,水芝,地芝 Wax gourd; White gourd; winter melon",蔬菜類 蔬菜类 冬瓜平均值 白瓜 東瓜 枕瓜 水芝 地芝 东瓜,wax gourd white winter melon average
蔬菜類,"冬瓜","白瓜,東瓜,枕瓜,水芝,地芝 Wax gourd; White gourd; winter melon",蔬菜類 蔬菜类 冬瓜 白瓜 東瓜 枕瓜 水芝 地芝 东瓜,wax gourd white winter melon
蔬菜類,"香芋冬瓜","白瓜,東瓜,枕瓜,水芝,地芝 Wax gourd; White gourd; winter melon",蔬菜類 蔬菜类 香芋冬瓜 白瓜 東瓜 枕瓜 水芝 地芝 东瓜,wax gourd white winter melon taro and
蔬菜類,"冬瓜(2022年取樣)","白瓜,東瓜,枕瓜,水芝,地芝 Wax gourd; White gourd; winter melon",蔬菜類 蔬菜类 冬瓜 年取樣 白瓜 東瓜 枕瓜 水芝 地芝 年取样 东瓜,wax gourd white winter melon (sampled in 2022)
蔬菜類,"南瓜平均值","金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜 Pumkin; Chinese squash; Cashaw",蔬菜類 蔬菜类 南瓜平均值 金瓜 飯瓜 番 翻 倭 窩 紅 冬/西洋 南瓜 北瓜 玉瓜 筍瓜 饭瓜 窝 红 笋瓜,pumkin chinese squash cashaw pumpkin average
蔬菜類,"日本南瓜","金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜 Pumpkin",蔬菜類 蔬菜类 日本南瓜 金瓜 飯瓜 番 翻 倭 窩 紅 冬/西洋 北瓜 玉瓜 筍瓜 饭瓜 窝 红 笋瓜,pumpkin japanese
蔬菜類,"台灣南瓜","金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜 Pumpkin",蔬菜類 蔬菜类 台灣南瓜 金瓜 飯瓜 番 翻 倭 窩 紅 冬/西洋 北瓜 玉瓜 筍瓜 台湾南瓜 饭瓜 窝 红 笋瓜,pumpkin taiwan
蔬菜類,"栗子南瓜","金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜 Pumpkin",蔬菜類 蔬菜类 栗子南瓜 金瓜 飯瓜 番 翻 倭 窩 紅 冬/西洋 北瓜 玉瓜 筍瓜 饭瓜 窝 红 笋瓜,pumpkin chestnut
蔬菜類,"菊花南瓜","金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜 Pumpkin",蔬菜類 蔬菜类 菊花南瓜 金瓜 飯瓜 番 翻 倭 窩 紅 冬/西洋 北瓜 玉瓜 筍瓜 饭瓜 窝 红 笋瓜,pumpkin chrysanthemum
蔬菜類,"胡瓜","大黃瓜,刺瓜,黃瓜,生瓜,王瓜,花瓜,黑瓜,大瓜 Cucumber",蔬菜類 蔬菜类 胡瓜 大黃瓜 刺瓜 生瓜 王瓜 花瓜 黑瓜 大瓜 大黄瓜,cucumber
蔬菜類,"花胡瓜(有機)","小黃瓜,花瓜,小胡瓜,小刺瓜 Cucumber: organic",蔬菜類 蔬菜类 花胡瓜 有機 小黃瓜 花瓜 小胡瓜 小刺瓜 有机 小黄瓜,cucumber organic (organic)
蔬菜類,"苦瓜(白皮)","錦荔枝,癩蒲萄,涼瓜,癩瓜,紅姑娘 Bitter gourd; Balsam pear; Bitter melon",蔬菜類 蔬菜类 苦瓜 白皮 錦荔枝 癩蒲萄 涼瓜 癩瓜 紅姑娘 锦荔枝 癞蒲萄 凉瓜 癞瓜 红姑娘,bitter gourd balsam pear melon (white skin)
蔬菜類,"苦瓜(青皮)","錦荔枝,癩蒲萄,涼瓜,癩瓜,紅姑娘 Bitter gourd; Balsam pear; Bitter melon",蔬菜類 蔬菜类 苦瓜 青皮 錦荔枝 癩蒲萄 涼瓜 癩瓜 紅姑娘 锦荔枝 癞蒲萄 凉瓜 癞瓜 红姑娘,bitter gourd balsam pear melon (green peel)
蔬菜類,"珍珠苦瓜","錦荔枝,癩蒲萄,涼瓜,癩瓜,紅姑娘(青苦瓜) Bitter gourd; Balsam pear; Bitter melon",蔬菜類 蔬菜类 珍珠苦瓜 錦荔枝 癩蒲萄 涼瓜 癩瓜 紅姑娘 青苦瓜 锦荔枝 癞蒲萄 凉瓜 癞瓜 红姑娘,bitter gourd balsam pear melon pearl
蔬菜類,"野苦瓜","山苦瓜,青小苦瓜,小苦瓜,野生苦瓜,短苦瓜,野癩瓜 Bitter gourd; Balsam pear; Bitter melon",蔬菜類 蔬菜类 野苦瓜 山苦瓜 青小苦瓜 野生苦瓜 短苦瓜 野癩瓜 野癞瓜,bitter gourd balsam pear melon wild
蔬菜類,"隼人瓜","梨瓜,壽瓜,合掌瓜,安南瓜,香瓜仔,拳頭瓜,佛掌瓜、香圓瓜,香櫞瓜,佛手瓜,瓦瓜 Chayote; christophine; vegetable pear",蔬菜類 蔬菜类 隼人瓜 梨瓜 壽瓜 合掌瓜 安南瓜 香瓜仔 拳頭瓜 佛掌瓜、香圓瓜 香櫞瓜 佛手瓜 瓦瓜 寿瓜 拳头瓜 佛掌瓜丶香圆瓜 香橼瓜,chayote christophine vegetable pear hayato melon
蔬菜類,"隼人瓜(2023年取樣)","梨瓜,壽瓜,合掌瓜,安南瓜,香瓜仔,拳頭瓜,佛掌瓜、香圓瓜,香櫞瓜,佛手瓜,瓦瓜 Chayote; christophine; vegetable pear",蔬菜類 蔬菜类 隼人瓜 年取樣 梨瓜 壽瓜 合掌瓜 安南瓜 香瓜仔 拳頭瓜 佛掌瓜、香圓瓜 香櫞瓜 佛手瓜 瓦瓜 年取样 寿瓜 拳头瓜 佛掌瓜丶香圆瓜 香橼瓜,chayote christophine vegetable pear hayato melon (sampled in 2023)
