Line 1,Line 2,Link
"我們吃的食物和氣候有關","食物碳排放之王是--牛肉",https://www.greenpeace.org/taiwan/update/18386/%E6%88%91%E5%80%91%E5%90%83%E7%9A%84%E9%A3%9F%E7%89%A9%E5%92%8C%E6%B0%A3%E5%80%99%E6%9C%89%E9%97%9C%EF%BC%9F%E9%A3%9F%E7%89%A9%E7%A2%B3%E6%8E%92%E6%94%BE%E4%B9%8B%E7%8E%8B%E6%98%AF%E2%8B%AF/
"打破十大碳水化合物迷思：","全穀醣類不會增肥、低醣飲食提昇死亡風險！- Today's Dietitian Magazine ",https://www.todaysdietitian.com/newarchives/0416p30.shtml
"吃肉和奶製品對氣候有什麼影響？","佔世界溫室氣體排放量的四分之一，佔據了地球可居住面積的一半。",https://interactive.carbonbrief.org/what-is-the-climate-impact-of-eating-meat-and-dairy/
"飲食做環保，吃得健康救地球："," 低碳排飲食第一步：少吃肉可阻止全球暖化，給下一代更好的生存空間！",https://www.pm-mag.net/Article/article_content.aspx?Tid=844
"【低醣飲食盲點】Low Carb減肥最健康？其實減到命都短幾年！"," 衞生署和世衛的營養指引，醣類攝取量應佔總熱量55至75%",http://www.etnet.com.hk/www/tc/lifestyle/health/healthnews/55870
"不要因為某種飲食法當紅就嘗試！"," 專家：不可忽略生酮飲食的危險性！ ",https://www.foodnext.net/column/columnist/paper/5234290908
"生酮飲食瘦超快？ ","醫師警告：死亡率恐提高50%",https://newtalk.tw/news/view/2019-05-03/241693
"TED影片：Power Foods for the Brain","攝取過多飽和脂肪、血基質鐵 會 提高失智風險",https://youtu.be/v_ONFix_e4k
"醫師親身實驗「生酮飲食」發現驚人真相："," 肌力打折，血液指標惡化！勿因體重下降而沾沾自喜，卻不知道自己的健康正在受害",https://www.cw.com.tw/article/article.action?id=5094603
"77％的大豆用於動物飼料 … "," 森林消失增加的碳排放助長了全球氣候變化",https://ourworldindata.org/soy
"畜牧業是森林消失的主因！"," The meat industry is the leading cause of deforestation",https://www.peta.org/blog/amazon-forest-soybeans/
"是什麼導致森林消失？"," 放牧、飼料大豆、棕櫚油　－－　少吃肉與油炸品！",https://www.ucsusa.org/resources/whats-driving-deforestation
"動物性蛋白質會增加血膽固醇： ","就膽固醇水平而言，白肉可能並不比紅肉好——而植物性蛋白質則優於兩者",https://www.health.harvard.edu/blog/when-it-comes-to-cholesterol-levels-white-meat-may-be-no-better-than-red-meat-and-plant-based-protein-beats-both-2019082217550
"最可能折壽的食物是熱狗，每吃1支就會讓壽命縮短約36分鐘；","其次是醃肉，每吃1份可能減壽26分鐘",https://www.ctwant.com/article/383075/
"紅肉和白肉差別不大…","若希望改善膽固醇水平，紅肉和白肉都應減少攝取，以植物類蛋白取代",https://www.hk01.com/%E4%B8%96%E7%95%8C%E5%B0%88%E9%A1%8C/337275/%E5%90%83%E7%99%BD%E8%82%89%E6%9B%B4%E5%81%A5%E5%BA%B7-%E7%BE%8E%E5%9C%8B%E7%A0%94%E7%A9%B6-%E5%B0%8D%E8%86%BD%E5%9B%BA%E9%86%87%E5%BD%B1%E9%9F%BF%E8%88%87%E7%B4%85%E8%82%89%E5%88%86%E5%88%A5%E4%B8%8D%E5%A4%A7
"40歲的阿雅更美了！"," 17歲開始素食，從諧星到氣質女神",https://kknews.cc/entertainment/4l5mqlq.html
"80歲嬤肝癌痊癒了！","「抗癌神物」地瓜葉在菜市場就買得到",https://news.tvbs.com.tw/life/2704277
"影片：前加州長 阿諾 · 史瓦辛格（Arnold Schwarzenegger）：","對抗氣候變遷，少吃肉 Less Meat, Less Heat",https://youtu.be/c3q-7ish6vk
"飲食變了，腫瘤小了：","「營養師，醫生說我的腦瘤完全消失了！」",https://www.myccf.org.tw/4952/%e3%80%8c%e6%88%91%e7%9a%84%e8%85%a6%e7%98%a4%e6%b6%88%e5%a4%b1%e4%ba%86%e3%80%8d
"美國醫學專家叫我們吃全整蔬食（Whole Food Plant-Based Diet）！","植物性飲食可使因心血管疾病、癌症、傳染病和糖尿病致死患者大幅度減少",https://card.weibo.com/article/m/show/id/2309634284781239098750
"影片：台灣名醫得癌拒絕化療，卻又多活40多年！","關鍵是植物性飲食",https://youtu.be/eXAhI30OUVE
"影片：台大病理科李豐醫師現身說法：與癌症和平相處","關鍵是植物性飲食",https://youtu.be/FV4YsZX-1g4
"徹底的改變飲食、克服罕見癌症","紐約女演員克里斯·卡爾（Kris Carr）",https://kriscarr.com/meet-kris/
"餐叉勝過手術刀：","以低脂、植物飲食為主，減少加工及添加油脂食物，可預防慢性疾病",https://youtu.be/EjTWFoqLy34
"哈佛研究：","紅肉會使糖尿病的風險增加 62%",https://youtu.be/NgfTit87RYU
"碳水化合物恐懼症？","研究顯示，以大量飽和脂肪取代碳水化合物對健康有害",https://www.goodfoodmarket.tw/news_page.php?pk=N2005210001
"膠原蛋白騙局何時破? ","沒用的東西為何還能割這麼久的韭菜?",https://youtu.be/A7ByKgWryAA
"牙周囊袋恢復 | 牙周囊袋是什麼？","居然和牙周病有關！",https://quanhaodental-all-on-4.com/how-to-recover-gum-pockets/
"再見！紅斑性狼瘡：","醫生如何通過超市食物自然治癒自己",https://www.books.com.tw/products/F014010664
"影片：吃往滅絕之路 | 畜牧業對環境的影響"," Eating Our Way to Extinction",https://youtu.be/TMLKHeizui4
"Eating our way to extinction ","吃往滅絕之路 | 畜牧業對環境的影響",https://youtu.be/Pc07L9F0olk
"Eating our way to extinction ","畜牧業的真相",https://youtu.be/jAwSHM9iC3U
"嚴重牙周病鐵定拔牙？ ","名醫教你做對兩件事「留牙超過10年」",https://ymdc.mdg.com.tw/form-download/171
"研究：素食者白內障機率低了30%~40%","Vegetarians May Have Lower Risk of Cataracts",https://pubmed.ncbi.nlm.nih.gov/33309591/
"你吃過雨來菇嗎？","「情人的眼淚」營養價值高，雨後才冒出頭",https://www.foodnext.net/science/knowledge/paper/5852534647　
"研究：牛奶攝入量越高，患乳腺癌的風險越大 ","Dairy, soy, and risk of breast cancer: those confounded milks",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8453418/
"影片：幫助大腦的食物 ","Power Foods for the Brain | Neal Barnard | TEDxBismarck",https://youtu.be/v_ONFix_e4k
"研究：通過植物性飲食預防潰瘍性結腸炎復發","Relapse Prevention in Ulcerative Colitis by Plant-Based Diet Through Educational Hospitalization",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6045502/
"影片：治療潰瘍性結腸炎的最佳飲食","The Best Diet for Ulcerative Colitis Treatment",https://youtu.be/QRdIz40Pbn4
"影片：美國政府如何幫助乳品商賣牛奶？","How big government helps big dairy sell milk ",https://youtu.be/XRCj8LVTRyA
"TED影片：打破牛奶神話｜","The Magnificent Milk Myth Debunked | Brooke Miles ",https://youtu.be/DXmoa2j7uWE
"影片：油芒 ～ ","台灣特有種，高營養價值，未來抗旱的超級作物",https://youtu.be/_fcPQDRnID4
"冷凍蔬菜比較不營養？不比現買的差！","相較於存放多天的新鮮蔬菜，冷凍蔬菜可能更能保留住營養",https://www.setn.com/News.aspx?NewsID=1613649
"紐約市長亞當斯 ","因吃素逆轉糖尿病，投入健康飲食推廣",https://www.suiis.com/info/article/641
"影片：無症狀感染者，有1個共同點！","感染後和沒感染一樣，自然免疫力很強大",https://youtu.be/Gv8wwr5YOlg 
"《越吃越美麗：日本女星營養師教你吃出瘦身、美肌、年輕力》","以米飯為主食，就是能讓身體變得健康與美麗的飲食方式",https://reading.udn.com/read/story/122749/8575818
"影片：為什麼飲酒會破壞身體 抗病毒 免疫力 ？","喝酒 後，身體對抗 病毒 的能力會發生怎樣的變化？",https://youtu.be/68Nf5hCbg_0
"影片：一根茄子🍆","就做出蒲燒鰻魚飯",https://youtu.be/WIqYKivHSCE
"影片：全素雞肉飯🤤","搭配白飯太好吃了",https://youtu.be/HipVOBXBXUI
"影片：台式麵包高油糖、添加物？","鬆軟陷阱，超級加工食品敲警鐘！",https://www.youtube.com/watch?v=g86SqD2cZ7o
"飲食是防疫關鍵！","10大免疫食物排行",https://health.udn.com/health/story/120952/5544810
"研究：植物性飲食 新冠重症少，","低碳水、高蛋白飲食 重症機率高",http://dx.doi.org/10.1136/bmjnph-2021-000272
"影片：全球素食名人"," 吃素好因緣",https://youtu.be/rsYVtxHtzc8
"研究：反式脂肪無論來自人工或天然，皆增加心血管疾病死亡率 ","（人造奶油、酥油、餅乾、油炸食品、牛羊肉奶…)",https://doi.org/10.1017/s0007114511005897
"影片：亞洲最大科技農場　","用「智慧」種出救命菜 ",https://youtu.be/Tn_itI2Wgfo
"影片：廚餘去哪裡？","回收用於堆肥、發電，減少焚化爐負擔",https://youtu.be/LDJ-YC41pZM
"牛奶別喝多！","瑞典研究：女性日逾「300毫升」心臟病風險增21%",https://news.tvbs.com.tw/health/2692402
"研究：黃酮類化合物對帕金森病的保護機制 ~ ","多吃水果、穀物、堅果、以及蔬菜",https://doi.org/10.1155/2015/314560
"研究：植物性食物飲食改善帕金森氏症患者的運動表現","Pilot dietary study ",https://doi.org/10.1179/174313211X12966635733231
"研究：帕金森氏症風險降低與飲食有關 ~  ","植物性飲食降低風險",https://doi.org/10.1016/j.mehy.2015.08.018
"影片：為何醫學院應該更關注營養教育-- ","Why medical schools should focus more on nutrition? -- Harvard T.H. Chan School of Public Health ",https://youtu.be/2T4VY9adGWQ
"動物性 vs. 植物性 飲食 ","Atkins vs. China Study diet. Who won? You decide.",https://youtu.be/dIwEmgV8Wdg
"影片：飲食、營養和癌症  "," T. Colin Campbell, PhD, 2007 National Conference on Prostate Cancer",https://youtu.be/hWfsQv800NU
"癌症關懷基金會【全食物運動】","- 癌症飲食指導專班",https://www.myccf.org.tw/diet-guiding-class
"綠活才是王道！","醫師家庭的新素食運動：感冒變少、不再氣喘了",https://www.youtube.com/watch?v=cejj4bmUZIk&t=1315s
"天然蔬食富含蛋白質、礦物質，","看看兩位蔬食三十年的醫師如何說【劉享朗、凌雲琪】",https://youtu.be/cejj4bmUZIk
"迷思：減肥不吃澱粉？事實：是脫水讓體重減輕！","【黃惠如 / 康健雜誌 第148期】要瘦，就要吃澱粉！",https://www.commonhealth.com.tw/article/65044　
"「驚人的澱粉減重法！」公開１０大助瘦食材 ～ ","穀類和蔬菜為主的飲食不但讓人健康到老，還能開心減重",https://www.commonhealth.com.tw/article/68257　
"研究：香港人壽命世界第一  …  ","不吸煙、不酒駕",https://doi.org/10.1016/S2468-2667(21)00208-5 
"男星近60歲卻像40歲！凍齡竟是靠吃素！","「由葷改素」可以降低多種慢性病的可能性",https://health.tvbs.com.tw/amp/strong/344145
"氣候變遷、地球告急！","為何選擇素食能救地球？",https://sites.google.com/view/taiwan-electricity/Saving-the-Earth-from-Climate-Crisis
"豆漿美乃滋【素食沙拉醬】沒有蛋奶 ","Vegan Soy Milk Mayonnaise Recipe",https://youtu.be/bDsIjQLBLg4
"植物性飲食對拯救全球野生動物至關重要 … ","廉價但有害食物的惡性循環是大自然的最大破壞者",https://www.theguardian.com/environment/2021/feb/03/plant-based-diets-crucial-to-saving-global-wildlife-says-report
"影片：嘗試吃素，我們一起友善世界、找到更好的自己！ "," | 蔬食 找 | TEDxDongWuU",https://youtu.be/H6iTan50Qd8
"影片：聰明人才吃素？美國醫學博士解密素食營養，套路這麽深！","觀者Changer",https://youtu.be/JPck7iB-QVU
"研究：吃肉比吃素更容易增加患癌風險嗎？","肉食動物的罹癌風險高 [Cancer risk across mammals, Nature 2021]",http://web.tccf.org.tw/lib/addon.php?act=post&id=4895
"研究：肉食(尤其是吃哺乳類的)動物罹癌風險高"," [Cancer risk across mammals, Nature 2021]",https://www.nature.com/articles/s41586-021-04224-5
"研究：植物性飲食改善勃起功能障礙","The association between plant-based diet and erectile dysfunction in Chinese men",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8117588/
"影片：提高先天免疫力 -- ","植物性飲食",https://youtu.be/ZiTm6I3SkA0
"影片：蛀牙竟然可以自愈?!牙醫所學秘密大公開！","預防蛀牙的方法",https://youtu.be/OyiCz0CIaNU
"影片：全食物概念","【飲食天然的最好】",https://youtu.be/HhHooa8FlD4
"影片：安心蔬果健康吃，","千萬不要再吃錯食物囉！",https://youtu.be/5sGy-WuoagA
"『關鍵飲食』：","「蔬食不但能保住人類的青春健康，更能為後代子孫留住一個永續安全的未來。」",https://m.momoshop.com.tw/expertimg/0008/721/687/8721687.html
"即使不運動，這些蔬菜也能增肌肉力量","💪大力水手吃菠菜還真有道理😏",https://www.epochtimes.com/b5/22/4/13/n13704821.htm/amp
"研究：多吃綠葉蔬菜可增強肌肉功能","💪大力水手吃菠菜還真有道理😏",https://doi.org/10.1093/jn/nxaa415
"高蛋白低碳水與高碳水低蛋白哪種飲食比較長壽？","30年實驗揭秘：高碳水化／低蛋白質小鼠最健康、長壽",https://health.udn.com/health/story/6037/6236280
"Food politics: Worse than you thought -- ","為何美國官方飲食建議中“少吃肉”被“選擇飽和脂肪含量低的飲食……”取代?",https://indyweek.com/food-and-drink/news/food-politics-worse-thought/
"影片：內湖「小廚櫃善循食堂」的”三心”料理 -- ","低鹽、少油、多樣，健康又環保的良心素食",https://youtu.be/exAniNS4PGI
"研究：食品中的乳化劑使微生物菌叢改變、腸道炎症惡化","Dietary emulsifiers directly alter human microbiota composition and gene expression ex vivo potentiating intestinal inflammation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5940336/
"研究：紅肉攝取與癌症的關聯 -- ","懷疑牛傳染因素與結直腸癌有關的原因",https://onlinelibrary.wiley.com/doi/pdf/10.1002/ijc.27413
"蛋白質吃太多，腎臟壞更快！","一張圖教你別讓高蛋白食物變毒藥",https://www.edh.tw/article/30148
"研究：煮熟的豆類含有高度易消化的蛋白質 (>80%!) ","Determination of the protein quality of cooked Canadian pulses",https://doi.org/10.1002/fsn3.473
"降低心血管疾病發作的飲食 -- ","過年應該「進補」的是當令的蔬菜和水果",http://drchenwh.blogspot.com/2014/03/blog-post.html
"百萬人都在學！居家隔離輕症患者自救法 -- ","俯臥呼吸降低死亡風險",https://health.tvbs.com.tw/medical/328317
"牛奶多喝多健康？","哈佛研究：攝取過多易罹癌、死亡率升高",https://youtu.be/0WbhQgk8O5E
"影片：植物性飲食如何挽救了我的生命","How A Plant-Based Diet Saved My Life ",https://youtu.be/vLib3_3uf9A
"研究：染疫重症風險皆降低","多吃蔬菜給你雙重防護",https://www.epochtimes.com/b5/22/4/1/n13689422.htm
"研究：富含植物的飲食有助於預防和減少感染的傳播","The Young Age and Plant-Based Diet Hypothesis for Low SARS-CoV-2 Infection and COVID-19 Pandemic in Sub-Saharan Africa",https://doi.org/10.1007/s11130-021-00907-6
"研究：植物性飲食有助於改善新冠後遺症 --","Lifestyle Adjustments in Long-COVID Management: Potential Benefits of Plant-Based Diets",https://link.springer.com/article/10.1007/s13668-021-00369-x
"研究：植物性飲食不僅健康，還能養活更多人、促進生物多樣性、避免氣候災難","It's time for healthcare professionals to demand a plant-based food system",https://doi.org/10.3399/bjgp21X717857
"為什麼植物性飲食能保護地球?","人類製造的溫室氣體 14.5% 來自畜牧，約 70%農地用於畜養動物",https://www.greenconut.com/trivia/health0202/
"研究：長期低碳水高蛋白飲食與總死亡率的增加有關","Prolonged consumption of diets low in carbohydrates and high in protein is associated with an increase in total mortality",https://www.nature.com/articles/1602557
"研究：肉類攝取量低的非洲國家，新冠染疫率低","The Young Age and Plant-Based Diet Hypothesis for Low SARS-CoV-2 Infection and COVID-19 Pandemic in Sub-Saharan Africa",https://doi.org/10.1007/s11130-021-00907-6
"研究：低碳水飲食與明顯更高之全因死亡風險相關","Low-carbohydrate diets and all-cause mortality: a systematic review and meta-analysis of observational studies",https://doi.org/10.1371/journal.pone.0055030
"影片：【胰臟癌五大風險因子】抽菸、喝酒、肥胖、高油飲食、糖尿病；","多吃十字花科蔬菜🥦預防胰臟癌！",https://youtu.be/pzKYkdEPhGM
"影片：與病毒共存 家長該知道的五件事 - ","王姿允醫師",https://www.youtube.com/watch?v=OEQedVoiW_A&t=114s
"影片：醬油的利與弊","避免化學釀造(關鍵字：水解植物蛋白/大豆蛋白)",https://youtu.be/EQNACoBRD8I
"影片：想遠離大腸癌，要減少攝取—","高脂肪食物(奶油、肥肉、起司)、紅肉與加工肉、酒",https://www.youtube.com/shorts/LJJyG9C3fNU
"研究：擺脫高脂飲食！","不僅罹糖尿病還恐「破壞大腦」",https://news.ltn.com.tw/amp/news/health/breakingnews/3990010
"影片：超簡單茄子料理，爽口又健康！","Steamed Eggplant│無油水蒸茄子│辜惠雪 老師",https://youtu.be/whJsAo1auBc
"研究：酒精為一級致癌物："," 安全攝入量為零、讓腦齡增12歲",https://www.epochtimes.com/b5/22/7/7/n13775947.htm
"沖繩人長壽祕訣：","與高碳水化合物飲食有關(主食是紅薯)",https://m.commonhealth.com.tw/amp/article/82926
"研究：生酮飲食別再吃了！","癌症、心臟病、中風死亡率都會大幅提升",https://healthylives.tw/Article/%e7%94%9f%e9%85%ae%e9%a3%b2%e9%a3%9f%e5%88%a5%e5%86%8d%e5%90%83%e4%ba%86%ef%bc%81%e6%9c%80%e6%96%b0%e7%a0%94%e7%a9%b6%ef%bc%9a%e7%99%8c%e7%97%87%e3%80%81%e5%bf%83%e8%87%9f%e7%97%85%e3%80%81%e4%b8%ad%e9%a2%a8%e6%ad%bb%e4%ba%a1%e7%8e%87%e9%83%bd%e6%9c%83%e5%a4%a7%e5%b9%85%e6%8f%90%e5%8d%87-35Qlr19bHfE.html
"影片：持續近一個世紀的迷思：","飲食與心臟病無關？額外的蛋白質攝取促進建康？碳水化合物導致糖尿病？",https://youtu.be/plpiRcVMbg0?t=143
"研究：植物性飲食於第二型糖尿病管理--","改善多項健康指標，包括醣化血紅素、體重、總膽固醇、低密度膽固醇，比糖尿病協會的飲食指南更好",https://drc.bmj.com/content/6/1/e000534
"影片：太極金牌國手孫家閎分享植物性飲食的好處 -- ","恢復能力變好、精神狀態變好，越練越健康！",https://www.youtube.com/watch?v=3icno5JO7zs&t=1670s
"酒精為一級致癌物，","就致癌風險而言並無安全量。",https://www.chp.gov.hk/tc/features/103676.html
"太多脂肪會『中毒』，導致血糖失控："," 減重就有機會逆轉糖尿病，不用再吃藥！",https://udn.com/news/story/7266/8627782
